classe,texto,titulo,capitulo,secao,subsecao,artigo,paragrafo,inciso,alinea
titartb,Título I: Dos Princípios Fundamentais,1,NA,NA,NA,NA,NA,NA,NA
artigo,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado democrático de direito e tem como fundamentos:",1,NA,NA,NA,1,NA,NA,NA
inciso,I - a soberania;,1,NA,NA,NA,1,NA,1,NA
inciso,II - a cidadania;,1,NA,NA,NA,1,NA,2,NA
inciso,III - a dignidade da pessoa humana;,1,NA,NA,NA,1,NA,3,NA
inciso,IV - os valores sociais do trabalho e da livre iniciativa;,1,NA,NA,NA,1,NA,4,NA
inciso,V - o pluralismo político.,1,NA,NA,NA,1,NA,5,NA
paragrafo,"Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.",1,NA,NA,NA,1,1,NA,NA
artigo,"Art. 2º São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.",1,NA,NA,NA,2,NA,NA,NA
artigo,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:,1,NA,NA,NA,3,NA,NA,NA
inciso,"I - construir uma sociedade livre, justa e solidária;",1,NA,NA,NA,3,NA,1,NA
inciso,II - garantir o desenvolvimento nacional;,1,NA,NA,NA,3,NA,2,NA
inciso,III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;,1,NA,NA,NA,3,NA,3,NA
inciso,"IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.",1,NA,NA,NA,3,NA,4,NA
artigo,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:,1,NA,NA,NA,4,NA,NA,NA
inciso,I - independência nacional;,1,NA,NA,NA,4,NA,1,NA
inciso,II - prevalência dos direitos humanos;,1,NA,NA,NA,4,NA,2,NA
inciso,III - autodeterminação dos povos;,1,NA,NA,NA,4,NA,3,NA
inciso,IV - não-intervenção;,1,NA,NA,NA,4,NA,4,NA
inciso,V - igualdade entre os Estados;,1,NA,NA,NA,4,NA,5,NA
inciso,VI - defesa da paz;,1,NA,NA,NA,4,NA,6,NA
inciso,VII - solução pacífica dos conflitos;,1,NA,NA,NA,4,NA,7,NA
inciso,VIII - repúdio ao terrorismo e ao racismo;,1,NA,NA,NA,4,NA,8,NA
inciso,IX - cooperação entre os povos para o progresso da humanidade;,1,NA,NA,NA,4,NA,9,NA
inciso,X - concessão de asilo político.,1,NA,NA,NA,4,NA,10,NA
paragrafo,"Parágrafo único. A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.",1,NA,NA,NA,4,1,NA,NA
titartb,Título II: Dos Direitos e Garantias Fundamentais,2,NA,NA,NA,NA,NA,NA,NA
titartb,Capítulo I: Dos Direitos e Deveres Individuais e Coletivos,2,1,NA,NA,NA,NA,NA,NA
artigo,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:",2,1,NA,NA,5,NA,NA,NA
inciso,"I - homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;",2,1,NA,NA,5,NA,1,NA
inciso,II - ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;,2,1,NA,NA,5,NA,2,NA
inciso,III - ninguém será submetido a tortura nem a tratamento desumano ou degradante;,2,1,NA,NA,5,NA,3,NA
inciso,"IV - é livre a manifestação do pensamento, sendo vedado o anonimato;",2,1,NA,NA,5,NA,4,NA
inciso,"V - é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;",2,1,NA,NA,5,NA,5,NA
inciso,"VI - é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;",2,1,NA,NA,5,NA,6,NA
inciso,"VII - é assegurada, nos termos da lei, a prestação de assistência religiosa nas entidades civis e militares de internação coletiva;",2,1,NA,NA,5,NA,7,NA
inciso,"VIII - ninguém será privado de direitos por motivo de crença religiosa ou de convicção filosófica ou política, salvo se as invocar para eximir-se de obrigação legal a todos imposta e recusar-se a cumprir prestação alternativa, fixada em lei;",2,1,NA,NA,5,NA,8,NA
inciso,"IX - é livre a expressão da atividade intelectual, artística, científica e de comunicação, independentemente de censura ou licença;",2,1,NA,NA,5,NA,9,NA
inciso,"X - são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação;",2,1,NA,NA,5,NA,10,NA
inciso,"XI - a casa é asilo inviolável do indivíduo, ninguém nela podendo penetrar sem consentimento do morador, salvo em caso de flagrante delito ou desastre, ou para prestar socorro, ou, durante o dia, por determinação judicial;",2,1,NA,NA,5,NA,11,NA
inciso,"XII - é inviolável o sigilo da correspondência e das comunicações telegráficas, de dados e das comunicações telefônicas, salvo, no último caso, por ordem judicial, nas hipóteses e na forma que a lei estabelecer para fins de investigação criminal ou instrução processual penal;",2,1,NA,NA,5,NA,12,NA
inciso,"XIII - é livre o exercício de qualquer trabalho, ofício ou profissão, atendidas as qualificações profissionais que a lei estabelecer;",2,1,NA,NA,5,NA,13,NA
inciso,"XIV - é assegurado a todos o acesso à informação e resguardado o sigilo da fonte, quando necessário ao exercício profissional;",2,1,NA,NA,5,NA,14,NA
inciso,"XV - é livre a locomoção no território nacional em tempo de paz, podendo qualquer pessoa, nos termos da lei, nele entrar, permanecer ou dele sair com seus bens;",2,1,NA,NA,5,NA,15,NA
inciso,"XVI - todos podem reunir-se pacificamente, sem armas, em locais abertos ao público, independentemente de autorização, desde que não frustrem outra reunião anteriormente convocada para o mesmo local, sendo apenas exigido prévio aviso à autoridade competente;",2,1,NA,NA,5,NA,16,NA
inciso,"XVII - é plena a liberdade de associação para fins lícitos, vedada a de caráter paramilitar;",2,1,NA,NA,5,NA,17,NA
inciso,"XVIII - a criação de associações e, na forma da lei, a de cooperativas independem de autorização, sendo vedada a interferência estatal em seu funcionamento;",2,1,NA,NA,5,NA,18,NA
inciso,"XIX - as associações só poderão ser compulsoriamente dissolvidas ou ter suas atividades suspensas por decisão judicial, exigindo-se, no primeiro caso, o trânsito em julgado;",2,1,NA,NA,5,NA,19,NA
inciso,XX - ninguém poderá ser compelido a associar-se ou a permanecer associado;,2,1,NA,NA,5,NA,20,NA
inciso,"XXI - as entidades associativas, quando expressamente autorizadas, têm legitimidade para representar seus filiados judicial ou extrajudicialmente;",2,1,NA,NA,5,NA,21,NA
inciso,XXII - é garantido o direito de propriedade;,2,1,NA,NA,5,NA,22,NA
inciso,XXIII - a propriedade atenderá a sua função social;,2,1,NA,NA,5,NA,23,NA
inciso,"XXIV - a lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização em dinheiro, ressalvados os casos previstos nesta Constituição;",2,1,NA,NA,5,NA,24,NA
inciso,"XXV - no caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização ulterior, se houver dano;",2,1,NA,NA,5,NA,25,NA
inciso,"XXVI - a pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, não será objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, dispondo a lei sobre os meios de financiar o seu desenvolvimento;",2,1,NA,NA,5,NA,26,NA
inciso,"XXVII - aos autores pertence o direito exclusivo de utilização, publicação ou reprodução de suas obras, transmissível aos herdeiros pelo tempo que a lei fixar;",2,1,NA,NA,5,NA,27,NA
inciso,"XXVIII - são assegurados, nos termos da lei:",2,1,NA,NA,5,NA,28,NA
alinea,"a) a proteção às participações individuais em obras coletivas e à reprodução da imagem e voz humanas, inclusive nas atividades desportivas;",2,1,NA,NA,5,NA,28,1
alinea,"b) o direito de fiscalização do aproveitamento econômico das obras que criarem ou de que participarem aos criadores, aos intérpretes e às respectivas representações sindicais e associativas;",2,1,NA,NA,5,NA,28,2
inciso,"XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País;",2,1,NA,NA,5,NA,29,NA
inciso,XXX - é garantido o direito de herança;,2,1,NA,NA,5,NA,30,NA
